,name,screen_name,twitter_full_name,last_name,num_tweets_analyzed,user_id,following_count,num_tweets_user_posted,followers_count,num_posts_user_liked,avg_retweets,avg_likes,avg_neg_sentiment,avg_neutral_sentiment,avg_pos_sentiment,avg_compound_sentiment,ideology,extremism,pos_approval,neutral_approval,neg_approval
0,Amy Klobuchar,amyklobuchar,Amy Klobuchar,Klobuchar,145,33537967.0,133676,14815,1885511,18,1329.2758620689656,8331.63448275862,0.07188275862068967,0.7861172413793105,0.14203448275862074,0.2589868965517241,0.1380439364250264,1.3849993700772687,56,14,31
3,Bernie Sanders,BernieSanders,Bernie Sanders,Sanders,166,216776631.0,1472,20509,15505513,951,5415.915662650603,30416.548192771083,0.09080120481927711,0.7761987951807229,0.13296987951807232,0.1383337349397591,0.0169447766796274,1.7948332649844019,65,6,29
4,Bill Cassidy,BillCassidy,"Bill Cassidy, M.D.",Cassidy,58,55677432.0,1278,7231,46862,171,6.879310344827586,24.74137931034483,0.06927586206896554,0.7696379310344826,0.16110344827586204,0.3580068965517241,0.7629071891846032,0.7297150606521104,47,27,26
6,Brian Schatz,brianschatz,Brian Schatz,Schatz,126,47747074.0,3086,19537,389669,10077,1086.642857142857,5229.896825396825,0.08165079365079365,0.7528571428571432,0.14961904761904765,0.10622698412698411,0.2235274329186771,1.095698978630051,48,23,29
7,Chris Murphy,ChrisMurphyCT,Chris Murphy,Murphy,119,150078976.0,233,26896,1076148,1370,1316.8235294117646,4576.865546218487,0.09150420168067229,0.7810336134453782,0.11910084033613448,0.0007512605042016838,0.2012552611337146,1.1710743233464187,47,19,35
8,Chuck Schumer,SenSchumer,Chuck Schumer,Schumer,149,17494010.0,24249,22393,3389455,995,2059.5838926174497,8507.778523489933,0.10923489932885909,0.7772348993288586,0.11357046979865772,-0.03218255033557048,0.2848180911350111,0.8882740119248101,47,18,35
11,Cory Booker,CoryBooker,Cory Booker,Booker,80,15808765.0,87796,67098,4911998,1023,612.4125,3841.675,0.0581,0.6120875000000001,0.32977500000000004,0.39601999999999987,0.0745238537200178,1.599969341417685,45,19,36
15,Ed Markey,SenMarkey,Ed Markey,Markey,63,21406834.0,1776,18533,251122,1042,141.4126984126984,475.6666666666667,0.10023809523809517,0.7894603174603175,0.1103015873015873,-0.002168253968253962,0.1034894258265648,1.5019416320628263,50,25,25
18,Elizabeth Warren,SenWarren,Elizabeth Warren,Warren,133,970207298.0,515,9356,7051586,18,1954.827067669173,8495.984962406015,0.1256691729323308,0.7731353383458648,0.10121052631578943,-0.10790676691729324,0.256294098104753,0.9848072924733462,50,10,40
22,Jim Risch,SenatorRisch,Jim Risch,Risch,39,1096059529.0,420,3530,112120,1145,51.666666666666664,167.30769230769232,0.04484615384615385,0.7327435897435898,0.2224358974358975,0.5161846153846154,0.8870543057352175,1.1498641056529049,46,26,28
