Alabama,,Richard Shelby,,Republican[d],"May 6, 1934 (age 87)",Lawyer,"U.S. House
Alabama Senate","University of Alabama (BA, LLB)
Birmingham School of Law (JD)","January 3, 1987",2022,Tuscaloosa
,,Tommy Tuberville,,Republican,"September 18, 1954 (age 67)","College football coach
Partner, investment management firm",None,Southern Arkansas University (BS),"January 3, 2021",2026,Auburn[3]
Alaska,,Lisa Murkowski,,Republican,"May 22, 1957 (age 64)",Lawyer,Alaska House of Representatives,"Georgetown University (AB)
Willamette University (JD)","December 20, 2002[e]",2022,Girdwood
,,Dan Sullivan,,Republican,"November 13, 1964 (age 57)","U.S. Marine Corps officer
Lawyer
Assistant Secretary of State for Economic and Business Affairs",Alaska Attorney General,"Harvard University (AB)
Georgetown University (MS, JD)","January 3, 2015",2026,Anchorage
Arizona,,Kyrsten Sinema,,Democratic,"July 12, 1976 (age 45)","Social worker
Political activist
Lawyer
College lecturer","U.S. House
Arizona Senate
Arizona House of Representatives","Brigham Young University (BA)
Arizona State University, Tempe (MSW, JD, PhD)","January 3, 2019",2024,Phoenix
,,Mark Kelly,,Democratic,"February 21, 1964 (age 58)","U.S. Navy officer
NASA Astronaut
Founder, Americans for Responsible Solutions non-profit organization",None,"United States Merchant Marine Academy (BS)
Naval Postgraduate School (MS)","December 2, 2020[f]",2022,Tucson
Arkansas,,John Boozman,,Republican,"December 10, 1950 (age 71)",Optometrist,"U.S. House
Rogers Public Schools Board","University of Arkansas
Southern College of Optometry (OD)","January 3, 2011",2022,Rogers
,,Tom Cotton,,Republican,"May 13, 1977 (age 44)","Lawyer
United States Army officer",U.S. House,"Harvard University (AB, JD)","January 3, 2015",2026,Dardanelle
California,,Dianne Feinstein,,Democratic,"June 22, 1933 (age 88)","Non-profit organization fellow
Member, California Women's Parole Board","Mayor of San Francisco
San Francisco Board of Supervisors",Stanford University (BA),"November 10, 1992[g]",2024,San Francisco
,,Alex Padilla,,Democratic,"March 22, 1973 (age 48)",Engineer,"Secretary of State of California
California Senate
Los Angeles City Council President",Massachusetts Institute of Technology (BS),"January 20, 2021[h]",2022,Los Angeles
Colorado,,Michael Bennet,,Democratic,"November 28, 1964 (age 57)","Lawyer
Investment company executive
Denver Public Schools Superintendent
Chief of staff to the Mayor of Denver",None,"Wesleyan University (BA)
Yale University (JD)","January 21, 2009[i]",2022,Denver
,,John Hickenlooper,,Democratic,"February 7, 1952 (age 70)","Geologist
Businessman","Governor of Colorado
Mayor of Denver","Wesleyan University (BA, MS)","January 3, 2021",2026,Denver
Connecticut,,Richard Blumenthal,,Democratic,"February 13, 1946 (age 76)","Marine Corps Reserve Sergeant
Senate staffer
Lawyer
U.S. Attorney","Connecticut Attorney General
Connecticut Senate
Connecticut House of Representatives","Harvard University (AB)
Trinity College, Cambridge Yale University (JD)","January 3, 2011",2022,Greenwich
,,Chris Murphy,,Democratic,"August 3, 1973 (age 48)","Lawyer
Political campaign manager","U.S. House
Connecticut Senate
Connecticut House of Representatives","Williams College (BA)
Exeter College, Oxford University of Connecticut (JD)","January 3, 2013",2024,Hartford[6]
Delaware,,Tom Carper,,Democratic,"January 23, 1947 (age 75)","U.S. Navy officer
Staff, Delaware Office of Economic Development","Governor of Delaware
U.S. House
Delaware Treasurer","Ohio State University (BA)
University of Delaware (MBA)","January 3, 2001",2024,Wilmington
,,Chris Coons,,Democratic,"September 9, 1963 (age 58)","Nonprofit organization executive
Lawyer","New Castle County, Delaware County Executive
Member, New Castle County Council","Amherst College (BA)
Yale University (MAR, JD)","November 15, 2010[j]",2026,Wilmington
Florida,,Marco Rubio,,Republican,"May 28, 1971 (age 50)",Lawyer,"Florida House Speaker
West Miami City Commission","University of Florida (BA)
University of Miami (JD)","January 3, 2011",2022,West Miami[7]
,,Rick Scott,,Republican,"December 1, 1952 (age 69)","Petty officer third class, U.S. Navy
Lawyer
Columbia/HCA CEO
Venture capitalist",Governor of Florida,"University of Missouri-Kansas City (BS)
Southern Methodist University (JD)","January 8, 2019[k]",2024,Naples
Georgia,,Jon Ossoff,,Democratic,"February 16, 1987 (age 35)","Investigative journalist
Documentary film producer
U.S. House staffer",None,"Georgetown University (BS)
London School of Economics (MSc)","January 20, 2021[l]",2026,Atlanta
,,Raphael Warnock,,Democratic,"July 23, 1969 (age 52)",Pastor,None,"Morehouse College (BA)
Union Theological Seminary (MDiv, MPhil, PhD)","January 20, 2021[m]",2022,Atlanta
Hawaii,,Brian Schatz,,Democratic,"October 20, 1972 (age 49)","Teacher
Nonprofit organization executive","Lieutenant Governor of Hawaii
Hawaii House of Representatives",Pomona College (BA),"December 26, 2012[n]",2022,Honolulu
,,Mazie Hirono,,Democratic,"November 3, 1947 (age 74)",Lawyer,"U.S. House
Lieutenant Governor of Hawaii
Hawaii House of Representatives","University of Hawaii at Manoa (BA)
Georgetown University (JD)","January 3, 2013",2024,Honolulu
Idaho,,Mike Crapo,,Republican,"May 20, 1951 (age 70)",Lawyer,"U.S. House
Idaho Senate","Brigham Young University (BA)
Harvard University (JD)","January 3, 1999",2022,Idaho Falls
,,Jim Risch,,Republican,"May 3, 1943 (age 78)","Professor
Rancher
Nonprofit organization executive
Lawyer","Governor of Idaho
Lieutenant Governor of Idaho
Idaho Senate President pro tempore","University of Wisconsin-Milwaukee
University of Idaho (BS, JD)","January 3, 2009",2026,Boise
Illinois,,Dick Durbin,,Democratic,"November 21, 1944 (age 77)","Lawyer
Professor",U.S. House,"Georgetown University (BS, JD)","January 3, 1997",2026,Springfield
,,Tammy Duckworth,,Democratic,"March 12, 1968 (age 53)","Army National Guard Officer
Coordinator, Center for Nursing Research, Northern Illinois University.[8]
U.S. Assistant Secretary of Veterans Affairs
Illinois Director of Veterans Affairs",U.S. House,"University of Hawaii at Manoa (BA)
George Washington University (MA) Northern Illinois University Capella University (PhD)","January 3, 2017",2022,Hoffman Estates
Indiana,,Todd Young,,Republican,"August 24, 1972 (age 49)","Marine Corps Officer
Professor
Consultant
Lawyer",U.S. House,"United States Naval Academy (BS)
University of Chicago (MBA) University of London (MA) Indiana University, Indianapolis (JD)","January 3, 2017",2022,Bloomington
,,Mike Braun,,Republican,"March 24, 1954 (age 67)",Businessman,"Indiana House of Representatives
Member, Jasper, Indiana School Board","Wabash College (BA)
Harvard University (MBA)","January 3, 2019",2024,Jasper
Iowa,,Chuck Grassley,,Republican,"September 17, 1933 (age 88)","Farmer
College professor","U.S. House
Iowa House of Representatives","University of Northern Iowa (BA, MA)
University of Iowa","January 3, 1981",2022,New Hartford
,,Joni Ernst,,Republican,"July 1, 1970 (age 51)","Farmer
Army National Guard officer",Iowa Senate,"Iowa State University (BA)
Columbus State University (MPA)","January 3, 2015",2026,Red Oak
Kansas,,Jerry Moran,,Republican,"May 29, 1954 (age 67)","Banker
Lawyer","U.S. House
Kansas Senate","Fort Hays State University
University of Kansas (BA, JD)","January 3, 2011",2022,Manhattan
,,Roger Marshall,,Republican,"August 9, 1960 (age 61)","Doctor
Captain, U.S. Army Reserve",U.S. House,"Kansas State University (BS)
University of Kansas (MD)","January 3, 2021",2026,Great Bend
Kentucky,,Mitch McConnell,,Republican,"February 20, 1942 (age 80)","Lawyer
U.S. Senate staff member
Deputy Assistant United States Attorney, U.S. Department of Justice Office of Legislative Affairs","Judge/Executive of Jefferson County, Kentucky","University of Louisville (BA)
University of Kentucky (JD)","January 3, 1985",2026,Louisville
,,Rand Paul,,Republican,"January 7, 1963 (age 59)",Physician specializing in Ophthalmology,None,"Baylor University
Duke University (MD)","January 3, 2011",2022,Bowling Green
Louisiana,,Bill Cassidy,,Republican,"September 28, 1957 (age 64)",Physician,"U.S. House
Louisiana Senate","Louisiana State University (BS, MD)","January 3, 2015",2026,Baton Rouge
,,John Kennedy,,Republican,"November 21, 1951 (age 70)","Magazine editor
Lawyer
Professor
Staff of Louisiana Governor Buddy Roemer
Secretary of the Louisiana Department of Revenue",Louisiana Treasurer,"Vanderbilt University (BA)
University of Virginia (JD) Magdalen College, Oxford (BCL)","January 3, 2017",2022,Madisonville
Maine,,Susan Collins,,Republican,"December 7, 1952 (age 69)","House staffer
Senate staffer
Regional director, Small Business Administration
Deputy Treasurer of Massachusetts",None,St. Lawrence University (BA),"January 3, 1997",2026,Bangor
,,Angus King,,Independent[a],"March 31, 1944 (age 77)","Lawyer
Senate staffer
Business founder
Corporate executive
Public television news program host",Governor of Maine,"Dartmouth College (BA)
University of Virginia (JD)","January 3, 2013",2024,Brunswick
Maryland,,Ben Cardin,,Democratic,"October 5, 1943 (age 78)",Lawyer,"U.S. House
Speaker of the Maryland House of Delegates","University of Pittsburgh (BA)
University of Maryland, Baltimore (JD)","January 3, 2007",2024,Baltimore
,,Chris Van Hollen,,Democratic,"January 10, 1959 (age 63)","U.S. Senate staff member
Maryland Governor's legislative advisor
Lawyer","U.S. House
Maryland Senate
Maryland House of Delegates","Swarthmore College (BA)
Harvard University (MPP) Georgetown University (JD)","January 3, 2017",2022,Kensington
Massachusetts,,Elizabeth Warren,,Democratic,"June 22, 1949 (age 72)","Lawyer
Professor
Research associate
Nonprofit organization executive
COP Chair
CFPB Special Advisor",None,"George Washington University
University of Houston (BS) Rutgers University (JD)","January 3, 2013",2024,Cambridge
,,Ed Markey,,Democratic,"July 11, 1946 (age 75)","Member, United States Army Reserve
Lawyer","U.S. House
Massachusetts House of Representatives","Boston College (BA, JD)","July 16, 2013[o]",2026,Malden
Michigan,,Debbie Stabenow,,Democratic,"April 29, 1950 (age 71)","Social worker
Leadership training consultant","U.S. House
Michigan House of Representatives
Michigan Senate","Michigan State University (BA, MSW)","January 3, 2001",2024,Lansing
,,Gary Peters,,Democratic,"December 1, 1958 (age 63)","United States Navy Reserve officer
Financial advisor
Lawyer
College professor and lecturer","U.S. House
Michigan Senate","Alma College (BA)
University of Detroit (MBA) Wayne State University (JD, MA) Michigan State University (MA)","January 3, 2015",2026,Bloomfield Hills
Minnesota,,Amy Klobuchar,,Democratic,"May 25, 1960 (age 61)",Lawyer,"Hennepin County, Minnesota County Attorney","Yale University (BA)
University of Chicago (JD)","January 3, 2007",2024,Minneapolis
,,Tina Smith,,Democratic,"March 4, 1958 (age 64)","Public relations consultant
Political campaign manager
Chief of staff to the Mayor of Minneapolis
Chief of staff to the Governor of Minnesota",Lieutenant Governor of Minnesota,"Stanford University (BA)
Dartmouth College (MBA)","January 3, 2018[p]",2026,Minneapolis
Mississippi,,Roger Wicker,,Republican,"July 5, 1951 (age 70)","U.S. Air Force officer/Judge Advocate
U.S. House staffer
Lawyer","U.S. House
Mississippi Senate","University of Mississippi (BA, JD)","December 31, 2007[q]",2024,Tupelo
,,Cindy Hyde-Smith,,Republican,"May 10, 1959 (age 62)",Farmer,"Mississippi Commissioner of Agriculture and Commerce
Mississippi Senate","Copiah-Lincoln Community College (AA)
University of Southern Mississippi (BA)","April 9, 2018[r]",2026,Brookhaven
Missouri,,Roy Blunt,,Republican,"January 10, 1950 (age 72)",University president,"U.S. House
Missouri Secretary of State
Greene County, Missouri Clerk","Southwest Baptist University (BA)
Southern Missouri State University (MA)","January 3, 2011",2022,Springfield
,,Josh Hawley,,Republican,"December 31, 1979 (age 42)","Lawyer
Professor",Attorney General of Missouri,"Stanford University (BA)
Yale University (JD)","January 3, 2019",2024,"Vienna, Virginia[11]"
Montana,,Jon Tester,,Democratic,"August 21, 1956 (age 65)","Music teacher
Farmer","Montana Senate President
Big Sandy, Montana School Board",University of Providence (BA),"January 3, 2007",2024,Big Sandy
,,Steve Daines,,Republican,"August 20, 1962 (age 59)",Businessman,U.S. House,Montana State University (BS),"January 3, 2015",2026,Bozeman
Nebraska,,Deb Fischer,,Republican,"March 1, 1951 (age 71)",Rancher,Nebraska Legislature,University of Nebraska-Lincoln (BS),"January 3, 2013",2024,Valentine
